fold,start_date,end_date,bars,avg_close,std_close,min_close,max_close,total_return,avg_atr,std_atr,max_atr,ema_crossovers,pct_trending,avg_rsi,pct_overbought,pct_oversold,avg_return,std_return,max_drawdown
1,2025-08-12 23:30:00+00:00,2025-08-21 00:00:00+00:00,579,147.41042832469776,0.3906073165419667,146.231,148.136,-0.3849302187134196,0.09651668353338118,0.01979919516783819,0.17421317539399475,14.0,40.06908462867012,49.42181416489557,8.46286701208981,9.844559585492227,-0.0006572384591395215,0.04479000674178303,-1.2859804503969285
2,2025-08-21 00:15:00+00:00,2025-08-29 00:45:00+00:00,579,147.58466839378238,0.5002842899951266,146.586,148.743,-0.246459269720134,0.09630557785314209,0.022776859989606397,0.20488820604827057,12.0,51.122625215889464,52.4556275627086,7.9447322970639025,5.526770293609672,-0.00040979694981176036,0.0585056616790513,-1.4501522760734797
3,2025-08-29 01:00:00+00:00,2025-09-08 01:30:00+00:00,579,147.815390328152,0.6506205552362399,146.818,148.964,0.9983462975439394,0.0959732135689503,0.03094862066386045,0.17091465762403263,15.0,36.096718480138165,52.853636302124116,11.226252158894647,5.872193436960276,0.0017326756680733004,0.05293664424269385,-1.429204371526005
4,2025-09-08 01:45:00+00:00,2025-09-16 02:15:00+00:00,579,147.46571157167529,0.3159430789270746,146.346,148.482,-0.7147909859534507,0.08997210792980784,0.025685752899614358,0.16310363802497094,14.0,41.45077720207254,47.82128867825337,6.390328151986183,11.053540587219343,-0.001232148593509615,0.04232830273223949,-1.4385582090758464
5,2025-09-16 02:30:00+00:00,2025-09-24 03:00:00+00:00,579,147.39612089810015,0.6074708609884572,145.77,148.358,0.13637843999350086,0.09450387275625786,0.03148504654298483,0.2192175389922201,12.0,41.45077720207254,50.33653114452872,6.0449050086355784,3.454231433506045,0.00024687664449413383,0.04713478951431009,-1.1896288764616125
6,2025-09-24 03:15:00+00:00,2025-10-02 03:45:00+00:00,579,148.54435060449052,0.8465523627132445,146.652,149.911,-0.3513546447865501,0.08646817849980451,0.021657767306505274,0.17425486265039,6.0,54.2314335060449,51.04175126018905,15.544041450777202,9.671848013816927,-0.0006009709200004197,0.03998102946879707,-2.1739565475515588
7,2025-10-02 04:00:00+00:00,2025-10-10 04:30:00+00:00,579,150.2927322970639,2.24388209060005,146.619,153.229,3.9502749288039762,0.11634782959130759,0.030301252631656433,0.20551940095759286,7.0,48.877374784110536,57.03904558395671,15.198618307426598,1.5544041450777202,0.006728591904555763,0.0716684441918389,-0.4609702779399649
8,2025-10-10 04:45:00+00:00,2025-10-20 05:15:00+00:00,579,151.43930397236616,0.8233864713142682,149.504,153.021,-1.4409786891995124,0.12165727755294795,0.02646934218787919,0.20555807141822469,7.0,33.33333333333333,45.6849952612658,1.381692573402418,11.053540587219343,-0.002493693371225074,0.05913864418671207,-2.2983773469000934
9,2025-10-20 05:30:00+00:00,2025-10-28 06:00:00+00:00,579,152.10241968911916,0.7976820170800608,150.431,153.231,1.0407827747136222,0.09370294031243213,0.02361017202513934,0.1631315864853058,16.0,31.951640759930918,53.38089759986282,7.772020725388601,1.2089810017271159,0.001800341351076273,0.04238756278304626,-0.6049689684202275
10,2025-10-28 06:15:00+00:00,2025-11-05 06:45:00+00:00,579,153.33856476683937,0.8676837024378182,151.632,154.459,0.7040220457975144,0.106288787474611,0.034952928371980496,0.21174481606649342,24.0,26.252158894645945,51.49370054212474,4.145077720207254,2.763385146804836,0.0012275296798109042,0.05251788541802458,-0.9452346577408899
