fold,train_samples,test_samples,auc,acc,equity,trades,winrate,profit_factor,total_pnl
1,5792,579,0.5820478763546352,0.5854922279792746,78081.07170402916,47,0.574468085106383,1.5712125714411396,68081.07170402916
2,6371,579,0.5680590417985376,0.6096718480138169,-48574.18431965594,71,0.4647887323943662,0.7712174421880172,-58574.18431965594
3,6950,579,0.5526181353767561,0.5699481865284974,-96112.6998090549,50,0.38,0.5275707668383534,-106112.6998090549
4,7529,579,0.5894860101072352,0.6234887737478411,-61465.50273378105,51,0.37254901960784315,0.5552811469190354,-71465.50273378106
5,8108,579,0.6198549175815279,0.6252158894645942,-58732.00914875361,39,0.3076923076923077,0.4212176142750319,-68732.00914875361
6,8687,579,0.5379648673252638,0.6822107081174439,-67501.33625470653,137,0.4306569343065693,0.8264093659269821,-77501.33625470653
7,9266,579,0.5181045751633987,0.5941278065630398,-475425.676617518,158,0.37341772151898733,0.4307664125427508,-485425.676617518
8,9845,579,0.4937293827454011,0.41796200345423146,-137281.51870339614,103,0.4077669902912621,0.7170446108935736,-147281.51870339614
9,10424,579,0.6290877796901893,0.6856649395509499,-28688.48478205314,90,0.4666666666666667,0.8535121201269462,-38688.48478205314
10,11003,579,0.6113655590886549,0.6994818652849741,-349993.2513129764,161,0.32919254658385094,0.46108885130092586,-359993.2513129764
